conic_curve_mm,x_cord,y_cord,angle,temp,Vin,Vout,Cin,Cout,S21_param,inductance,efficiency,L_tx_uH,L_tx_eff_uH,L_rx_eff_uH,C_parasitic_pF,f_srf_MHz,R_skin_ohm,R_total_ohm,proximity_factor,Q_tx,Q_rx,M_nH,k,kQ,k_critical,S11_dB,S22_dB,S12_dB,P_in_W,P_out_W,f_split_low_MHz,f_split_high_MHz,split_gap_kHz,coupling_regime,d_lateral_mm,alignment,group,Vout_measured,Iout_measured,efficiency_measured,notes
0,0,80,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,80.0,y-axis,control,,,,
0,0,85,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,85.0,y-axis,control,,,,
0,0,90,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,90.0,y-axis,control,,,,
0,0,95,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,95.0,y-axis,control,,,,
0,0,100,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,100.0,y-axis,control,,,,
0,5,5,0,75.0,12.0,0.546997,86.999,86.999,-15.226,6.33383,0.75048,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,617.5834,0.09750545,11.45605,0.00851126,-0.798,-0.798,-15.226,2.88,0.0216137,6.4718,7.1369,665.04,overcoupled,7.071,diagonal,control,,,,
0,10,10,0,75.0,12.0,0.546404,86.999,86.999,-14.653,6.33383,0.85625,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,577.5538,0.09118549,10.71351,0.00851126,-0.798,-0.798,-14.653,2.88,0.02466005,6.4905,7.112,621.47,overcoupled,14.142,diagonal,control,,,,
0,15,15,0,75.0,12.0,0.545094,86.999,86.999,-13.608,6.33383,1.08927,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,510.83779,0.08065222,9.47594,0.00851126,-0.798,-0.798,-13.608,2.88,0.03137096,6.5221,7.0711,549.06,overcoupled,21.213,diagonal,control,,,,
0,20,20,0,75.0,12.0,0.542123,86.999,86.999,-11.902,6.33383,1.61353,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,417.43539,0.06590564,7.74335,0.00851126,-0.798,-0.798,-11.902,2.88,0.04646952,6.567,7.0151,448.06,overcoupled,28.284,diagonal,control,,,,
0,25,25,0,75.0,12.0,0.533625,86.999,86.999,-9.092,6.33383,3.08109,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,297.34659,0.04694575,5.51572,0.00851126,-0.798,-0.798,-9.092,2.88,0.08873533,6.6262,6.945,318.73,overcoupled,35.355,diagonal,control,,,,
0,30,30,0,75.0,12.0,0.488907,86.999,86.999,-3.971,6.33383,10.01973,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,151.0697,0.02385122,2.80231,0.00851126,-0.798,-0.798,-3.971,2.88,0.28856832,6.7006,6.8623,161.77,overcoupled,42.426,diagonal,control,,,,
0,35,35,0,75.0,12.0,0.126315,86.999,86.999,-1.508,6.33383,17.66555,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,29.39478,0.00464091,0.54527,0.00851126,-0.798,-0.798,-1.508,2.88,0.50876795,6.78,6.78,0.0,undercoupled,49.497,diagonal,control,,,,
0,40,40,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,56.569,diagonal,control,,,,
0,45,45,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,63.64,diagonal,control,,,,
0,50,50,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,70.711,diagonal,control,,,,
